"TIME","GEO","GEO_LABEL","INDIC_DE","Value"
"2000","BE","Belgium","Population on 1 January - total ","10 239 085"
"2000","BE","Belgium","Live births - total","116 396"
"2000","BE","Belgium","Deaths - total","104 903"
"2000","BE","Belgium","Natural change of population","11 493"
"2000","BE","Belgium","Net migration plus statistical adjustment","12 836"
"2000","BE","Belgium","Total population change","24 329"
"2000","BE","Belgium","Crude birth rate","11.4"
"2000","BE","Belgium","Crude death rate ","10.2"
"2000","BE","Belgium","Crude rate of natural change of population","1.1"
"2000","BE","Belgium","Crude rate of net migration plus statistical adjustment","1.3"
"2000","BE","Belgium","Crude rate of total population change","2.4"
"2000","BG","Bulgaria","Population on 1 January - total ","8 190 876"
"2000","BG","Bulgaria","Live births - total","73 679"
"2000","BG","Bulgaria","Deaths - total","115 087"
"2000","BG","Bulgaria","Natural change of population","-41 408"
"2000","BG","Bulgaria","Net migration plus statistical adjustment","0"
"2000","BG","Bulgaria","Total population change","-41 408"
"2000","BG","Bulgaria","Crude birth rate","9.0"
"2000","BG","Bulgaria","Crude death rate ","14.1"
"2000","BG","Bulgaria","Crude rate of natural change of population","-5.1"
"2000","BG","Bulgaria","Crude rate of net migration plus statistical adjustment","0.0"
"2000","BG","Bulgaria","Crude rate of total population change","-5.1"
"2000","CZ","Czechia","Population on 1 January - total ","10 278 098"
"2000","CZ","Czechia","Live births - total","90 910"
"2000","CZ","Czechia","Deaths - total","109 001"
"2000","CZ","Czechia","Natural change of population","-18 091"
"2000","CZ","Czechia","Net migration plus statistical adjustment","-27 980"
"2000","CZ","Czechia","Total population change","-46 071"
"2000","CZ","Czechia","Crude birth rate","8.9"
"2000","CZ","Czechia","Crude death rate ","10.6"
"2000","CZ","Czechia","Crude rate of natural change of population","-1.8"
"2000","CZ","Czechia","Crude rate of net migration plus statistical adjustment","-2.7"
"2000","CZ","Czechia","Crude rate of total population change","-4.5"
"2000","DK","Denmark","Population on 1 January - total ","5 330 020"
"2000","DK","Denmark","Live births - total","67 084"
"2000","DK","Denmark","Deaths - total","57 986"
"2000","DK","Denmark","Natural change of population","9 098"
"2000","DK","Denmark","Net migration plus statistical adjustment","10 094"
"2000","DK","Denmark","Total population change","19 192"
"2000","DK","Denmark","Crude birth rate","12.6"
"2000","DK","Denmark","Crude death rate ","10.9"
"2000","DK","Denmark","Crude rate of natural change of population","1.7"
"2000","DK","Denmark","Crude rate of net migration plus statistical adjustment","1.9"
"2000","DK","Denmark","Crude rate of total population change","3.6"
"2000","DE","Germany (until 1990 former territory of the FRG)","Population on 1 January - total ","82 163 475"
"2000","DE","Germany (until 1990 former territory of the FRG)","Live births - total","766 999"
"2000","DE","Germany (until 1990 former territory of the FRG)","Deaths - total","838 797"
"2000","DE","Germany (until 1990 former territory of the FRG)","Natural change of population","-71 798"
"2000","DE","Germany (until 1990 former territory of the FRG)","Net migration plus statistical adjustment","167 863"
"2000","DE","Germany (until 1990 former territory of the FRG)","Total population change","96 065"
"2000","DE","Germany (until 1990 former territory of the FRG)","Crude birth rate","9.3"
"2000","DE","Germany (until 1990 former territory of the FRG)","Crude death rate ","10.2"
"2000","DE","Germany (until 1990 former territory of the FRG)","Crude rate of natural change of population","-0.9"
"2000","DE","Germany (until 1990 former territory of the FRG)","Crude rate of net migration plus statistical adjustment","2.0"
"2000","DE","Germany (until 1990 former territory of the FRG)","Crude rate of total population change","1.2"
"2000","EE","Estonia","Population on 1 January - total ","1 401 250"
"2000","EE","Estonia","Live births - total","13 067"
"2000","EE","Estonia","Deaths - total","18 403"
"2000","EE","Estonia","Natural change of population","-5 336"
"2000","EE","Estonia","Net migration plus statistical adjustment","-3 194"
"2000","EE","Estonia","Total population change","-8 530"
"2000","EE","Estonia","Crude birth rate","9.4"
"2000","EE","Estonia","Crude death rate ","13.2"
"2000","EE","Estonia","Crude rate of natural change of population","-3.8"
"2000","EE","Estonia","Crude rate of net migration plus statistical adjustment","-2.3"
"2000","EE","Estonia","Crude rate of total population change","-6.1"
"2000","IE","Ireland","Population on 1 January - total ","3 777 565"
"2000","IE","Ireland","Live births - total","54 789"
"2000","IE","Ireland","Deaths - total","31 391"
"2000","IE","Ireland","Natural change of population","23 398"
"2000","IE","Ireland","Net migration plus statistical adjustment","31 820"
"2000","IE","Ireland","Total population change","55 218"
"2000","IE","Ireland","Crude birth rate","14.4"
"2000","IE","Ireland","Crude death rate ","8.2"
"2000","IE","Ireland","Crude rate of natural change of population","6.1"
"2000","IE","Ireland","Crude rate of net migration plus statistical adjustment","8.4"
"2000","IE","Ireland","Crude rate of total population change","14.5"
"2000","EL","Greece","Population on 1 January - total ","10 775 627"
"2000","EL","Greece","Live births - total","103 267"
"2000","EL","Greece","Deaths - total","105 219"
"2000","EL","Greece","Natural change of population","-1 952"
"2000","EL","Greece","Net migration plus statistical adjustment","62 314"
"2000","EL","Greece","Total population change","60 362"
"2000","EL","Greece","Crude birth rate","9.6"
"2000","EL","Greece","Crude death rate ","9.7"
"2000","EL","Greece","Crude rate of natural change of population","-0.2"
"2000","EL","Greece","Crude rate of net migration plus statistical adjustment","5.8"
"2000","EL","Greece","Crude rate of total population change","5.6"
"2000","ES","Spain","Population on 1 January - total ","40 470 182"
"2000","ES","Spain","Live births - total","397 632"
"2000","ES","Spain","Deaths - total","360 391"
"2000","ES","Spain","Natural change of population","37 241"
"2000","ES","Spain","Net migration plus statistical adjustment","158 122"
"2000","ES","Spain","Total population change","195 363"
"2000","ES","Spain","Crude birth rate","9.8"
"2000","ES","Spain","Crude death rate ","8.9"
"2000","ES","Spain","Crude rate of natural change of population","0.9"
"2000","ES","Spain","Crude rate of net migration plus statistical adjustment","3.9"
"2000","ES","Spain","Crude rate of total population change","4.8"
"2000","FR","France","Population on 1 January - total ","60 545 022"
"2000","FR","France","Live births - total","808 249"
"2000","FR","France","Deaths - total","540 717"
"2000","FR","France","Natural change of population","267 532"
"2000","FR","France","Net migration plus statistical adjustment","166 761"
"2000","FR","France","Total population change","434 293"
"2000","FR","France","Crude birth rate","13.3"
"2000","FR","France","Crude death rate ","8.9"
"2000","FR","France","Crude rate of natural change of population","4.4"
"2000","FR","France","Crude rate of net migration plus statistical adjustment","2.7"
"2000","FR","France","Crude rate of total population change","7.1"
"2000","HR","Croatia","Population on 1 January - total ","4 497 735"
"2000","HR","Croatia","Live births - total","43 746"
"2000","HR","Croatia","Deaths - total","50 246"
"2000","HR","Croatia","Natural change of population","-6 500"
"2000","HR","Croatia","Net migration plus statistical adjustment","-52 367"
"2000","HR","Croatia","Total population change","-58 867"
"2000","HR","Croatia","Crude birth rate","9.8"
"2000","HR","Croatia","Crude death rate ","11.2"
"2000","HR","Croatia","Crude rate of natural change of population","-1.5"
"2000","HR","Croatia","Crude rate of net migration plus statistical adjustment","-11.7"
"2000","HR","Croatia","Crude rate of total population change","-13.2"
"2000","IT","Italy","Population on 1 January - total ","56 923 524"
"2000","IT","Italy","Live births - total","543 144"
"2000","IT","Italy","Deaths - total","555 502"
"2000","IT","Italy","Natural change of population","-12 358"
"2000","IT","Italy","Net migration plus statistical adjustment","49 526"
"2000","IT","Italy","Total population change","37 168"
"2000","IT","Italy","Crude birth rate","9.5"
"2000","IT","Italy","Crude death rate ","9.8"
"2000","IT","Italy","Crude rate of natural change of population","-0.2"
"2000","IT","Italy","Crude rate of net migration plus statistical adjustment","0.9"
"2000","IT","Italy","Crude rate of total population change","0.7"
"2000","CY","Cyprus","Population on 1 January - total ","690 497"
"2000","CY","Cyprus","Live births - total","8 447"
"2000","CY","Cyprus","Deaths - total","5 355"
"2000","CY","Cyprus","Natural change of population","3 092"
"2000","CY","Cyprus","Net migration plus statistical adjustment","3 960"
"2000","CY","Cyprus","Total population change","7 052"
"2000","CY","Cyprus","Crude birth rate","12.2"
"2000","CY","Cyprus","Crude death rate ","7.7"
"2000","CY","Cyprus","Crude rate of natural change of population","4.5"
"2000","CY","Cyprus","Crude rate of net migration plus statistical adjustment","5.7"
"2000","CY","Cyprus","Crude rate of total population change","10.2"
"2000","LV","Latvia","Population on 1 January - total ","2 381 715"
"2000","LV","Latvia","Live births - total","20 302"
"2000","LV","Latvia","Deaths - total","32 205"
"2000","LV","Latvia","Natural change of population","-11 903"
"2000","LV","Latvia","Net migration plus statistical adjustment","-16 428"
"2000","LV","Latvia","Total population change","-28 331"
"2000","LV","Latvia","Crude birth rate","8.6"
"2000","LV","Latvia","Crude death rate ","13.6"
"2000","LV","Latvia","Crude rate of natural change of population","-5.0"
"2000","LV","Latvia","Crude rate of net migration plus statistical adjustment","-6.9"
"2000","LV","Latvia","Crude rate of total population change","-12.0"
"2000","LT","Lithuania","Population on 1 January - total ","3 512 074"
