TIME;GEO;AGEMOTH;MEDAGEMOTH;TOTFERRT;JAN;CNMIGRAT;CNMIGRATRT;DEATH;GBIRTHRT;GDEATHRT;GROW;GROWRT;LBIRTH;NATGROW;NATGROWRT;RT;PER_KM2;EUR_HAB_2GDP;EUR_HAB_EU;EUR_HAB_EU27_2019;MIO_EUR;MIO_NAC;MIO_PPS;MIO_PPS_EU27_2019;PPS_EU27_2019_HAB;PPS_HAB;PPS_HAB_EU;PPS_HAB_EU27_2019;EMP;SAL;EUR_HAB_2HHINC;ED0-2_25_64;ED3_4_25_64;ED3-8_25_64;ED5-8_25_64;ED0-2_30_34;ED3_4_30_34;ED3-8_30_34;ED5-8_30_34
2000;AT;28.7;29.4;1.35;8002186;17272;2.2;76780;9.8;9.6;18760;2.3;78268;1488;0.2;4.8;97.2;26700;134;145;213606.48;213606.48;206251.54;195513.5;24400;25700;130;133;3755;3243.7;18000;23.8;62.1;76.2;14.1;16.7;67.4;83.3;15.9
2001;AT;28.9;29.6;1.31;8020946;42003;5.2;74767;9.4;9.3;42694;5.3;75458;691;0.1;4.8;97.5;27400;133;143;220525.08;220525.08;207461.48;197764.57;24600;25800;125;128;3782;3265.1;18300;22.5;62.6;77.5;14.8;16;67.9;84;16.1
2002;AT;29.1;29.8;1.38;8063640;34365;4.3;76131;9.7;9.4;36633;4.5;78399;2268;0.3;4.1;98;28100;132;141;226735.22;226735.22;216432.92;206562.16;25600;26800;126;129;3778.4;3258.1;18500;21.7;62.7;78.3;15.7;15.9;66.9;84.1;17.2
2003;AT;29.2;29.9;1.36;8100273;42565;5.2;77209;9.5;9.5;42300;5.2;76944;-265;0;4.5;98.5;28600;132;140;231862.46;231862.46;221219.87;214271.17;26400;27200;126;130;3803;3275.3;18900;21;63.3;79;15.7;14.3;68.1;85.7;17.6
2004;AT;28.8;29.5;1.42;8142573;54110;6.6;74292;9.7;9.1;58786;7.2;78968;4676;0.6;4.5;99.1;29700;132;140;242348.26;242348.26;233343.6;225461.43;27600;28600;127;130;3826.8;3290.1;19700;20.2;61.8;79.8;18;13.5;65.6;86.5;20.9
2005;AT;29;29.6;1.41;8201359;49938;6.1;75189;9.5;9.1;52939;6.4;78190;3001;0.4;4.2;99.8;30900;132;140;254075.03;254075.03;244844.26;235901.36;28700;29800;127;130;3872.9;3328.4;20600;19.6;62.7;80.4;17.7;13.9;65.5;86.1;20.7
2006;AT;29.2;29.7;1.41;8254298;25067;3;74295;9.4;9;28686;3.5;77914;3619;0.4;3.6;100.3;32400;131;139;267824.45;267824.45;257526.01;247506.79;29900;31100;126;129;3940.7;3384.8;21600;19.9;62.7;80.1;17.5;13.6;65.3;86.4;21.1
2007;AT;29.4;29.8;1.38;8282984;23380;2.8;74625;9.2;9;25005;3;76250;1625;0.2;3.7;100.6;34200;131;139;283977.97;283977.97;269374.92;258264.28;31100;32500;125;127;4012.7;3453.2;22700;20.1;62.6;79.9;17.3;13.5;65.7;86.5;20.9
2008;AT;29.5;29.7;1.42;8307989;24345;2.9;75083;9.3;9;27014;3.2;77752;2669;0.3;3.7;100.9;35300;135;140;293761.91;293761.91;271698.73;266777.58;32100;32700;125;127;4089.1;3519.4;23400;19.1;63;80.9;17.9;12.8;65.3;87.2;21.9
2009;AT;29.7;29.9;1.39;8335003;17677;2.1;77381;9.2;9.3;16640;2;76344;-1037;-0.1;3.8;101.2;34500;141;143;288044.02;288044.02;259692.84;257781.17;30900;31100;127;128;4067.5;3495;22800;18.4;62.7;81.6;18.9;11.7;64.9;88.3;23.4
